map_size,repetition,algorithm,E,F,d,g
3,0,bfs,29,12,5,8
3,0,dfs,19,8,10,20
3,0,a*,22,8,5,8
3,1,bfs,29,12,5,15
3,1,dfs,19,8,10,24
3,1,a*,56,9,5,15
3,2,bfs,29,12,5,6
3,2,dfs,19,8,10,21
3,2,a*,13,4,5,6
3,3,bfs,29,12,5,8
3,3,dfs,19,8,10,14
3,3,a*,20,7,5,8
3,4,bfs,29,12,5,9
3,4,dfs,19,8,10,21
3,4,a*,30,12,5,9
3,5,bfs,29,12,5,10
3,5,dfs,19,8,10,17
3,5,a*,28,10,5,10
3,6,bfs,29,12,5,15
3,6,dfs,19,8,10,25
3,6,a*,44,15,7,13
3,7,bfs,29,12,5,15
3,7,dfs,19,8,10,28
3,7,a*,53,10,5,15
3,8,bfs,29,12,5,9
3,8,dfs,19,8,10,24
3,8,a*,35,13,5,9
3,9,bfs,29,12,5,15
3,9,dfs,19,8,10,22
3,9,a*,46,13,7,12
5,0,bfs,102,40,7,16
5,0,dfs,31,16,14,34
5,0,a*,142,43,10,16
5,1,bfs,102,40,7,9
5,1,dfs,31,16,14,34
5,1,a*,29,13,7,9
5,2,bfs,102,40,7,19
5,2,dfs,31,16,14,30
5,2,a*,170,38,11,19
5,3,bfs,102,40,7,16
5,3,dfs,31,16,14,35
5,3,a*,97,39,7,16
5,4,bfs,102,40,7,21
5,4,dfs,31,16,14,38
5,4,a*,134,34,9,20
5,5,bfs,102,40,7,16
5,5,dfs,31,16,14,40
5,5,a*,97,37,9,15
5,6,bfs,102,40,7,18
5,6,dfs,31,16,14,39
5,6,a*,134,42,10,18
5,7,bfs,102,40,7,8
5,7,dfs,31,16,14,35
5,7,a*,19,8,7,8
5,8,bfs,102,40,7,17
5,8,dfs,31,16,14,26
5,8,a*,53,22,9,12
5,9,bfs,102,40,7,18
5,9,dfs,31,16,14,35
5,9,a*,141,31,7,18
7,0,bfs,238,72,9,23
7,0,dfs,43,24,18,44
7,0,a*,64,29,11,15
7,1,bfs,238,72,9,25
7,1,dfs,43,24,18,52
7,1,a*,193,56,9,25
7,2,bfs,238,72,9,22
7,2,dfs,43,24,18,50
7,2,a*,291,60,9,22
7,3,bfs,238,72,9,22
7,3,dfs,43,24,18,39
7,3,a*,240,76,13,21
7,4,bfs,238,72,9,26
7,4,dfs,43,24,18,53
7,4,a*,306,61,9,26
7,5,bfs,238,72,9,22
7,5,dfs,43,24,18,49
7,5,a*,170,61,12,20
7,6,bfs,238,72,9,26
7,6,dfs,43,24,18,41
7,6,a*,335,58,9,26
7,7,bfs,238,72,9,23
7,7,dfs,43,24,18,49
7,7,a*,212,66,14,23
7,8,bfs,238,72,9,22
7,8,dfs,43,24,18,52
7,8,a*,191,55,9,22
7,9,bfs,238,72,9,20
7,9,dfs,43,24,18,55
7,9,a*,179,69,9,20
9,0,bfs,438,104,11,24
9,0,dfs,55,32,22,54
9,0,a*,235,79,14,23
9,1,bfs,438,104,11,28
9,1,dfs,55,32,22,70
9,1,a*,464,99,11,28
9,2,bfs,438,104,11,36
9,2,dfs,55,32,22,55
9,2,a*,620,55,14,35
9,3,bfs,438,104,11,33
9,3,dfs,55,32,22,64
9,3,a*,365,98,14,30
9,4,bfs,438,104,11,17
9,4,dfs,55,32,22,67
9,4,a*,136,63,11,17
9,5,bfs,438,104,11,37
9,5,dfs,55,32,22,55
9,5,a*,610,73,11,37
9,6,bfs,438,104,11,20
9,6,dfs,55,32,22,62
9,6,a*,147,61,11,20
9,7,bfs,438,104,11,38
9,7,dfs,55,32,22,64
9,7,a*,621,47,16,37
9,8,bfs,438,104,11,32
9,8,dfs,55,32,22,66
9,8,a*,584,70,18,31
9,9,bfs,438,104,11,25
9,9,dfs,55,32,22,58
9,9,a*,341,89,11,25
